6741227,486738498,7766,8192,321,90.903,4792.8,1000,5079,61,0,61,6905184,0,17.5845,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6743372,486738498,7831,8192,144,85.074,4325.23,1000,4990,0,0,0,6785836,0,25.3156,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6745416,486738498,7951,8192,216,83.606,4643.48,1000,5160,120,0,120,7017600,0,27.4642,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6747678,486738498,7575,8192,224,81.39,3913.08,1000,4944,0,0,0,6722524,0,23.7731,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6749816,486738498,7622,8192,343,82.363,4892.95,1000,5040,0,0,0,6851392,0,25.6327,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6752002,486738498,7655,8192,304,84.778,3966.61,1000,5246,230,0,230,7131364,0,26.0982,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6755312,486738498,7975,8192,72,84.619,4171.93,1000,4944,0,0,0,6723276,0,16.2502,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6757337,486738498,7695,8192,152,81.359,4629.64,1000,5040,0,0,0,6852896,0,27.084,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6760409,486738498,7593,8192,290,81.136,4080.1,1000,4972,4,0,4,6761732,0,17.6045,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
6762090,486738498,7855,8192,72,80.766,4100.26,1000,5016,0,0,0,6818188,0,32.4518,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
